date,channel,campaign_type,campaign_name,campaign_id,spend,revenue,clicks,impressions,conversions,roas
2024-01-01,Google Ads,Performance Max,Pmax_Campaign_03,18253980912,7.162371,19.73102955,28.0,2687.0,0.987045,2.754818139132977
2024-01-01,Google Ads,Performance Max,Pmax_Campaign_04,18255780139,14.43,193.02699906,19.0,316.0,2.927613,13.376784411642413
2024-01-01,Google Ads,Performance Max,Pmax_Campaign_05,20123547793,63.23,286.88582623,177.0,16337.0,6.981059999999999,4.537178969318362
2024-01-01,Google Ads,Performance Max,Pmax_Campaign_06,20233159677,62.358381,303.80402445,252.0,20532.0,4.021899,4.871903657184428
2024-01-01,Google Ads,Performance Max,Pmax_Campaign_07,20761218206,56.345718,160.51,133.0,5564.0,1.0,2.8486636730762753
2024-01-01,Google Ads,Performance Max,Pmax_Campaign_08,20834199963,53.343372,171.235,145.0,19543.0,1.7,3.210052037955156
2024-01-01,Google Ads,Performance Max,Pmax_NTM_Campaign_10,18253990962,428.540565,3382.54261297,1520.0,163705.0,24.266729,7.893167856746537
2024-01-01,Google Ads,Performance Max,Pmax_NTM_Campaign_11,18259733009,48.47005,220.955,149.0,16381.0,2.5,4.558588241604868
2024-01-01,Google Ads,Search,Search_TM_Campaign_01,9988712287,46.98,549.98808538,158.0,481.0,4.193582,11.706855797786293
2024-01-01,Google Ads,Video,Video_Campaign_03,20437094522,0.268223,0.0,1.0,105.0,0.0,0.0
2024-01-02,Google Ads,Performance Max,Pmax_Campaign_03,18253980912,4.195506,0.0,28.0,2598.0,0.0,0.0
2024-01-02,Google Ads,Performance Max,Pmax_Campaign_04,18255780139,37.39,271.35724816,32.0,389.0,1.020662,7.257481897833645
2024-01-02,Google Ads,Performance Max,Pmax_Campaign_05,20123547793,59.03,185.70189299,160.0,14705.0,3.972154,3.1458901065559886
2024-01-02,Google Ads,Performance Max,Pmax_Campaign_06,20233159677,53.337038,424.36571657,239.0,16700.0,5.565743,7.956304520884719
2024-01-02,Google Ads,Performance Max,Pmax_Campaign_07,20761218206,61.750801,101.84,129.0,4831.0,2.0,1.6492093762476052
2024-01-02,Google Ads,Performance Max,Pmax_Campaign_08,20834199963,37.484932,320.0,113.0,20171.0,2.0,8.536763518738676
2024-01-02,Google Ads,Performance Max,Pmax_NTM_Campaign_10,18253990962,494.385302,2274.952651,1527.0,162747.0,27.580184,4.601578246353286
2024-01-02,Google Ads,Performance Max,Pmax_NTM_Campaign_11,18259733009,41.03004,137.38255577,145.0,14713.0,3.986077,3.348340771054574
2024-01-02,Google Ads,Search,Search_TM_Campaign_01,9988712287,53.558564,670.81681702,244.0,818.0,4.083258,12.524921635688367
2024-01-02,Google Ads,Video,Video_Campaign_03,20437094522,0.251895,0.0,0.0,40.0,0.0,0.0
2024-01-03,Google Ads,Performance Max,Pmax_Campaign_03,18253980912,1.968827,0.0,8.0,755.0,0.0,0.0
2024-01-03,Google Ads,Performance Max,Pmax_Campaign_04,18255780139,11.58,0.0,19.0,265.0,0.0,0.0
2024-01-03,Google Ads,Performance Max,Pmax_Campaign_05,20123547793,67.39003,264.97981634,183.0,18258.0,3.492939,3.932032918519253
2024-01-03,Google Ads,Performance Max,Pmax_Campaign_06,20233159677,89.078163,378.32464402,307.0,21698.0,6.760065,4.247108733259351
2024-01-03,Google Ads,Performance Max,Pmax_Campaign_07,20761218206,52.40711,209.67,107.0,4917.0,2.0,4.000793022168175
2024-01-03,Google Ads,Performance Max,Pmax_Campaign_08,20834199963,28.92,0.0,56.0,6057.0,0.0,0.0
2024-01-03,Google Ads,Performance Max,Pmax_NTM_Campaign_10,18253990962,696.080126,2961.20188233,2035.0,225932.0,34.415535,4.254110657269361
2024-01-03,Google Ads,Performance Max,Pmax_NTM_Campaign_11,18259733009,32.75013,108.7959,99.0,7360.0,2.320106,3.321999027179434
2024-01-03,Google Ads,Search,Search_TM_Campaign_01,9988712287,75.7,601.39843131,357.0,1079.0,10.356219,7.944497111096433
2024-01-03,Google Ads,Video,Video_Campaign_03,20437094522,0.129766,0.0,0.0,50.0,0.0,0.0
2024-01-04,Google Ads,Performance Max,Pmax_Campaign_03,18253980912,0.224715,0.0,0.0,42.0,0.0,0.0
2024-01-04,Google Ads,Performance Max,Pmax_Campaign_04,18255780139,4.59,0.0,14.0,263.0,0.0,0.0
2024-01-04,Google Ads,Performance Max,Pmax_Campaign_05,20123547793,128.78001,345.99126769,260.0,26027.0,5.7510390000000005,2.686684584742616
2024-01-04,Google Ads,Performance Max,Pmax_Campaign_06,20233159677,86.3133,271.80538083,300.0,26642.0,5.454585,3.1490556012804514
2024-01-04,Google Ads,Performance Max,Pmax_Campaign_07,20761218206,77.317295,20.85838025,133.0,5253.0,0.159092,0.26977638379614804
2024-01-04,Google Ads,Performance Max,Pmax_NTM_Campaign_10,18253990962,802.69901,3802.94379529,2078.0,254141.0,40.760104,4.7376958834046645
